itemType,itemNumber,brand,modelNo,serialNo,status,notes,purchaseDate,warrantyEnd,specs
chair,CL2-CH-012,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-013,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-014,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-015,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-016,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-017,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-018,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-019,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-020,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-021,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-022,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-023,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-024,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-025,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-026,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-027,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-028,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-029,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
chair,CL2-CH-030,Standard,Office Chair,,active,Lab 2 Chair,2024-01-15,2029-01-15,"{""material"":""Fabric"",""color"":""Black"",""adjustable"":""Yes""}"
table,CL2-TB-001,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-002,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-003,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-004,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-005,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-006,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-007,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-008,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-009,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-010,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-011,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-012,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-013,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-014,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-015,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-016,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-017,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-018,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
table,CL2-TB-019,Standard,Computer Table,,active,Lab 2 Computer Table,2024-01-15,2034-01-15,"{""material"":""Wood/MDF"",""dimensions"":""120x60x75 cm"",""color"":""Brown"",""cableManagement"":""Yes""}"
